input_size,sorting_config,algorithm,execution_time
100,random,bubble_sort,0.00026363333260330063
500,random,bubble_sort,0.007295333324388291
5000,random,bubble_sort,0.8146338333317544
10000,random,bubble_sort,3.209650133328978
25000,random,bubble_sort,20.377137299986014
50000,random,bubble_sort,82.83787980000488
100,sorted,bubble_sort,0.00015580000278229514
500,sorted,bubble_sort,0.00407989999318185
5000,sorted,bubble_sort,0.4997479999922992
10000,sorted,bubble_sort,1.8960611666649736
25000,sorted,bubble_sort,12.275995799999995
50000,sorted,bubble_sort,58.4347792333283
100,reverse_sorted,bubble_sort,0.00029556666656086844
500,reverse_sorted,bubble_sort,0.008084100001724437
5000,reverse_sorted,bubble_sort,1.061108333330291
10000,reverse_sorted,bubble_sort,4.325955733336741
25000,reverse_sorted,bubble_sort,27.772427833338345
50000,reverse_sorted,bubble_sort,111.79123286666193
100,flat_list,bubble_sort,0.0001589666644576937
500,flat_list,bubble_sort,0.005566366666850324
5000,flat_list,bubble_sort,0.6810201666667126
10000,flat_list,bubble_sort,2.395922233340874
25000,flat_list,bubble_sort,16.560416266671382
50000,flat_list,bubble_sort,64.46993406666054
